,0,1,2,3,4,5,mid
397,rajdumnern,180,tvshow,7,ratchada,6,4512711
398,rajdumnern,272,silom,63,wahkor,58,4563817
399,korea,230,tvshow,9,klaibann,5,2562407
400,religious,101,horoscope,8,social,7,3536904
401,supachalasai,199,chalermthai,102,tvshow,34,66322
402,ratchada,62,blueplanet,62,region,3,4646871
403,tvshow,130,beauty,13,food,7,1072191
404,blueplanet,292,gallery,285,ratchada,9,1362919
405,rajdumnern,143,0,0,0,0,4667624
406,supachalasai,33,tvshow,1,wahkor,1,860719
407,tvshow,99,isolate,40,silom,8,4560475
408,isolate,83,chalermkrung,29,tvshow,8,564133
409,tvshow,161,region,148,wahkor,147,375219
410,social,178,sinthorn,126,wahkor,67,4643379
411,cartoon,53,home,2,gadget,2,525053
412,supachalasai,49,0,0,0,0,4627364
413,sinthorn,92,supachalasai,9,cartoon,6,518207
414,sinthorn,163,social,23,blueplanet,17,864997
415,wahkor,141,blueplanet,26,library,25,4651274
416,family,174,lumpini,47,siam,27,3779482
417,ratchada,264,wahkor,80,social,49,399986
418,tvshow,51,mbk,2,wahkor,2,506655
419,tvshow,226,pantip,16,chalermthai,4,4615790
420,social,33,sinthorn,15,ratchada,8,4093531
421,supachalasai,262,sinthorn,20,tvshow,19,2327358
422,korea,224,chalermkrung,30,beauty,4,4343578
423,siam,52,bangrak,31,library,8,3356650
424,siam,128,ratchada,98,bangrak,84,1932446
425,religious,210,lumpini,11,wahkor,9,258124
426,supachalasai,120,tvshow,18,sinthorn,15,4618434
427,home,16,social,12,blueplanet,11,148801
428,supachalasai,160,tvshow,11,home,5,97382
429,mbk,56,tvshow,9,gadget,2,4669606
430,supachalasai,331,korea,6,silom,3,4480003
431,supachalasai,256,cartoon,61,chalermthai,36,209660
432,rajdumnern,475,tvshow,38,cartoon,32,4444355
433,rajdumnern,7,0,0,0,0,4616932
434,chalermthai,41,food,40,social,37,4655649
435,writer,308,library,20,siam,6,957799
436,supachalasai,245,korea,12,isolate,4,1083892
437,social,84,bangrak,53,siam,51,4158576
438,supachalasai,152,social,53,ratchada,31,262448
439,supachalasai,62,tvshow,45,mbk,27,4518248
440,social,54,ratchada,11,bangrak,9,4658321
441,sinthorn,301,supachalasai,101,social,49,2116489
442,supachalasai,82,tvshow,7,0,0,4567975
443,rajdumnern,391,library,11,social,7,3726944
444,siliconvalley,81,social,6,mbk,5,426306
445,home,69,bangrak,49,social,48,3859935
446,tvshow,156,wahkor,151,region,150,981802
447,korea,659,chalermkrung,23,tvshow,17,1561874
448,isolate,46,korea,13,supachalasai,10,1731722
449,blueplanet,154,mbk,81,klaibann,60,1272765
450,tvshow,152,beauty,22,chalermthai,7,470907
451,rajdumnern,108,siliconvalley,3,social,2,4566247
452,social,107,lumpini,69,religious,58,3432709
453,religious,242,library,28,wahkor,28,3402001
454,bangrak,572,siam,136,social,60,3132840
455,isolate,169,chalermkrung,43,lumpini,7,4634030
456,religious,187,horoscope,15,siam,10,2437130
457,rajdumnern,212,library,5,silom,1,2693894
458,sinthorn,175,wahkor,94,library,42,574053
459,religious,4,0,0,0,0,4613131
460,religious,169,supachalasai,119,horoscope,23,390385
461,bangrak,292,social,79,silom,40,166353
462,social,97,silom,83,theoldsiam,51,4649572
463,korea,745,tvshow,34,isolate,15,4230246
464,supachalasai,67,home,58,ratchada,47,290613
465,bangrak,264,siam,231,cartoon,28,825199
466,sinthorn,268,silom,26,ratchada,10,169197
467,tvshow,453,pantip,15,korea,5,4483002
468,sinthorn,68,siliconvalley,11,gadget,1,111523
469,bangrak,89,siam,47,lumpini,12,3977124
470,social,35,wahkor,26,siliconvalley,24,3308246
471,supachalasai,195,tvshow,26,blueplanet,19,4262498
472,tvshow,139,supachalasai,138,chalermthai,65,297916
473,blueplanet,205,gallery,84,tvshow,12,4086333
474,supachalasai,92,blueplanet,36,sinthorn,8,95472
475,tvshow,127,wahkor,104,region,104,218529
476,beauty,92,lumpini,30,religious,24,373223
477,isolate,260,chalermkrung,47,tvshow,11,721366
478,bangrak,144,siam,81,social,64,884194
479,tvshow,248,supachalasai,68,region,57,2669180
480,sinthorn,229,silom,5,mbk,1,2352926
481,korea,14,tvshow,4,chalermkrung,1,839675
482,horoscope,38,blueplanet,8,bangrak,3,275815
483,supachalasai,96,tvshow,10,chalermthai,1,3511909
484,silom,130,cartoon,130,chalermthai,84,777423
485,tvshow,88,social,20,supachalasai,14,3325836
486,ratchada,46,blueplanet,46,region,3,494629
487,supachalasai,174,rajdumnern,5,lumpini,5,581386
488,library,55,siam,32,lumpini,15,4454392
489,social,171,tvshow,93,jatujak,83,4627147
490,bangrak,139,siam,70,social,26,3346694
491,supachalasai,216,social,8,lumpini,7,3722820
492,isolate,293,chalermkrung,53,cartoon,16,4520547
493,tvshow,144,isolate,12,bangrak,3,2619437
494,supachalasai,173,tvshow,3,sinthorn,2,221231
495,wahkor,35,social,34,isolate,31,619572
496,siam,38,supachalasai,8,camera,6,158089
497,bangrak,207,siam,185,horoscope,99,4615505
498,sinthorn,263,supachalasai,25,social,25,3155503
499,jatujak,42,lumpini,38,art,22,4168978
500,home,87,siliconvalley,70,social,42,20504
501,supachalasai,298,blueplanet,2,tvshow,2,1005302
502,supachalasai,99,social,75,wahkor,44,4545798
503,supachalasai,360,tvshow,2,lumpini,1,1000756
504,isolate,64,bangrak,49,silom,40,4385253
505,isolate,69,chalermkrung,24,social,5,3882844
506,korea,484,isolate,44,tvshow,25,155922
507,sinthorn,276,supachalasai,30,food,29,912733
508,isolate,139,sinthorn,48,chalermkrung,37,193031
509,lumpini,87,family,87,library,30,359162
510,sinthorn,262,social,38,silom,35,1851013
511,tvshow,149,supachalasai,146,chalermkrung,16,4581034
512,korea,158,chalermkrung,68,siam,65,3388852
513,supachalasai,127,mbk,16,tvshow,14,2155958
514,sinthorn,97,silom,1,0,0,607558
515,sinthorn,424,pantip,4,silom,4,333727
516,ratchada,108,wahkor,83,tvshow,75,324903
517,wahkor,278,library,50,supachalasai,25,28637
518,gadget,56,chalermthai,24,ratchada,22,848263
519,family,85,lumpini,22,tvshow,5,4457646
520,supachalasai,151,rajdumnern,75,sinthorn,31,4593010
521,food,74,supachalasai,13,social,3,92181
522,sinthorn,303,siam,242,social,104,160946
523,wahkor,269,home,222,ratchada,202,411109
524,horoscope,59,tvshow,6,religious,4,4660467
525,korea,43,tvshow,35,lumpini,25,751916
526,supachalasai,92,sinthorn,91,lumpini,32,166595
527,bangrak,284,siam,150,social,26,1762214
528,korea,383,chalermkrung,19,isolate,8,1217039
529,bangrak,112,siam,58,ratchada,36,4326510
530,rajdumnern,127,sinthorn,25,social,22,4348817
531,religious,339,wahkor,93,library,49,242933
532,supachalasai,369,isolate,60,tvshow,29,480851
533,wahkor,133,supachalasai,51,library,33,724873
534,tvshow,149,pantip,6,social,3,4619507
535,social,3,isolate,3,silom,2,4669507
536,horoscope,118,siam,8,supachalasai,7,103827
