,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore
16962,2672246,0,43,5.4,4,2,1,421
16966,1002381,0,191,8.2,4,4,2,442
16970,1216471,0,80,5.2,4,3,1,431
16992,301975,0,150,5.2,4,4,1,441
16999,192074,0,257,7.6000000000000005,4,4,2,442
17014,3044111,0,135,7.2,4,3,2,432
17026,577830,1,23,5.4,2,1,1,211
17030,1228730,0,94,4.6,4,3,1,431
17045,302198,2,40,5.4,2,1,1,211
17048,2667956,1,46,20.200000000000003,2,2,4,224
17066,127110,0,48,7.6000000000000005,4,2,2,422
17079,249643,1,20,4.4,2,1,1,211
17080,238947,1,25,5.2,2,1,1,211
17084,1207575,0,113,4.6,4,3,1,431
17093,3030238,2,34,4.800000000000001,2,1,1,211
17095,584616,2,109,6.4,2,3,2,232
17102,4000322,4,11,4.4,1,1,1,111
17113,585882,1,48,5.800000000000001,2,2,1,221
17118,1204643,1,59,10.4,2,2,3,223
17137,653488,0,88,9.4,4,3,3,433
17141,582635,1,123,4.800000000000001,2,3,1,231
17149,127371,1,76,9.8,2,2,3,223
17154,2685079,6,20,5.4,1,1,1,111
17169,582240,0,312,53.2,4,4,4,444
17176,1209814,0,27,12.200000000000001,4,1,3,413
17181,584045,0,105,5.2,4,3,1,431
17190,583674,1,70,8.4,2,2,2,222
17226,21102,0,26,5.6000000000000005,4,1,1,411
17227,217101,3,55,6.4,1,2,2,122
17229,21138,0,155,6.0,4,4,2,442
17241,1639726,0,114,5.6000000000000005,4,3,1,431
17242,420841,0,228,5.800000000000001,4,4,1,441
17250,420454,5,256,17.8,1,4,4,144
17264,1783867,0,80,6.0,4,3,2,432
17276,3627634,0,127,8.4,4,3,2,432
17284,855486,0,50,4.4,4,2,1,421
17285,3627279,1,61,5.0,2,2,1,221
17289,745793,1,32,5.2,2,1,1,211
17290,336941,2,35,4.6,2,1,1,211
17299,1645383,0,90,9.4,4,3,3,433
17305,269800,4,92,22.8,1,3,4,134
17363,788317,0,112,6.800000000000001,4,3,2,432
17368,1631545,0,207,5.4,4,4,1,441
17372,788249,2,71,4.2,2,2,1,221
17394,2105586,0,122,6.0,4,3,2,432
17396,744053,0,186,10.200000000000001,4,4,3,443
17405,3329859,2,39,4.800000000000001,2,1,1,211
17417,3418658,0,87,9.8,4,3,3,433
17429,367031,0,42,8.8,4,2,2,422
17431,367042,0,141,4.6,4,3,1,431
17467,783776,0,93,4.6,4,3,1,431
17472,164634,0,135,4.2,4,3,1,431
17476,825933,0,43,7.4,4,2,2,422
17477,1658281,3,15,4.4,1,1,1,111
17484,1777346,0,240,17.2,4,4,3,443
17489,409517,1,309,33.800000000000004,2,4,4,244
17497,269217,3,21,16.0,1,1,3,113
17503,370117,0,39,9.8,4,1,3,413
17504,750984,0,53,8.600000000000001,4,2,2,422
17514,1775437,1,69,4.4,2,2,1,221
17516,329507,0,91,11.4,4,3,3,433
17518,173864,0,197,6.2,4,4,2,442
17519,1662967,0,157,8.4,4,4,2,442
17524,782938,0,96,44.6,4,3,4,434
17530,1664068,0,73,5.800000000000001,4,2,1,421
17554,415365,0,78,4.2,4,2,1,421
17559,3340929,0,57,8.4,4,2,2,422
17582,2092789,1,105,5.4,2,3,1,231
17602,1655355,0,43,5.0,4,2,1,421
17619,748313,5,19,8.8,1,1,2,112
17621,412764,1,16,8.2,2,1,2,212
17629,3341470,4,42,6.800000000000001,1,2,2,122
17632,1951258,3,51,5.0,1,2,1,121
17648,221708,0,260,7.6000000000000005,4,4,2,442
17652,1779924,0,89,4.4,4,3,1,431
17674,3657529,0,158,8.0,4,4,2,442
17678,865801,0,50,9.6,4,2,3,423
17679,435076,0,76,4.800000000000001,4,2,1,421
17695,325510,0,147,15.600000000000001,4,4,3,443
17703,3658449,0,199,10.200000000000001,4,4,3,443
17707,435965,0,60,4.2,4,2,1,421
17728,433613,2,47,7.2,2,2,2,222
17738,338113,0,358,10.8,4,4,3,443
17754,434329,0,150,47.0,4,4,4,444
17765,174735,2,197,11.4,2,4,3,243
17767,223862,0,77,7.2,4,2,2,422
17768,733995,1,129,4.800000000000001,2,3,1,231
17773,263375,0,101,6.2,4,3,2,432
17781,733137,0,55,5.0,4,2,1,421
17784,72246,0,66,4.6,4,2,1,421
17792,264927,0,78,6.6000000000000005,4,2,2,422
17795,1591478,5,30,5.0,1,1,1,111
17797,793958,0,43,8.4,4,2,2,422
17809,13040,0,72,4.2,4,2,1,421
17823,438246,0,53,4.2,4,2,1,421
17828,3506095,0,30,4.2,4,1,1,411
17834,223868,0,130,6.6000000000000005,4,3,2,432
17847,436652,2,57,7.2,2,2,2,222
17854,259278,1,13,4.4,2,1,1,211
17881,740123,0,61,5.800000000000001,4,2,1,421
17882,4644902,5,25,5.0,1,1,1,111
17889,66607,1,161,7.800000000000001,2,4,2,242
17892,822037,0,112,11.8,4,3,3,433
17895,3643241,1,65,7.4,2,2,2,222
17897,1623887,1,69,91.0,2,2,4,224
17900,337718,1,19,5.4,2,1,1,211
17917,1620479,0,75,6.2,4,2,2,422
17925,1621495,0,78,10.200000000000001,4,2,3,423
17929,4670646,4,70,5.0,1,2,1,121
17948,2117944,4,21,4.800000000000001,1,1,1,111
17954,4670425,0,92,12.600000000000001,4,3,3,433
17956,265211,0,46,6.2,4,2,2,422
17978,1627395,0,217,6.4,4,4,2,442
17989,426723,0,44,4.6,4,2,1,421
17996,362295,1,73,4.6,2,2,1,221
18002,432213,6,12,8.2,1,1,2,112
18012,862754,0,101,11.8,4,3,3,433
18023,381023,0,215,14.0,4,4,3,443
18049,3646754,1,25,4.800000000000001,2,1,1,211
18093,4643413,2,136,5.800000000000001,2,3,1,231
18108,839495,0,46,6.0,4,2,2,422
18111,764672,0,60,5.4,4,2,1,421
18114,1978910,5,64,11.600000000000001,1,2,3,123
18125,388343,5,14,6.0,1,1,2,112
18127,388289,0,80,7.800000000000001,4,3,2,432
18130,3571943,0,133,8.2,4,3,2,432
18158,1713830,4,73,6.2,1,2,2,122
18217,763556,2,22,9.200000000000001,2,1,3,213
18229,376392,0,123,23.200000000000003,4,3,4,434
18248,1974480,3,43,24.0,1,2,4,124
18249,53260,3,34,5.2,1,1,1,111
18269,2027682,0,156,9.0,4,4,2,442
18273,49538,0,50,6.2,4,2,2,422
18278,332160,0,134,4.4,4,3,1,431
18281,1709518,0,91,5.2,4,3,1,431
18287,763046,0,117,12.0,4,3,3,433
18300,390454,1,31,6.0,2,1,2,212
18302,762883,0,63,5.2,4,2,1,421
18310,51583,0,136,4.2,4,3,1,431
18315,2021394,0,235,13.8,4,4,3,443
18322,831143,5,11,5.0,1,1,1,111
18326,267641,0,99,5.4,4,3,1,431
18331,333763,0,116,17.400000000000002,4,3,3,433
18341,382578,1,157,5.6000000000000005,2,4,1,241
18369,769671,0,190,15.8,4,4,3,443
18372,266908,2,98,4.800000000000001,2,3,1,231
18379,36472,0,88,5.2,4,3,1,431
18381,36528,0,106,4.6,4,3,1,431
18394,3553551,0,112,6.0,4,3,2,432
18396,1738006,0,76,6.2,4,2,2,422
18402,381209,2,29,6.4,2,1,2,212
18406,1990029,0,138,5.6000000000000005,4,3,1,431
18409,381037,0,103,5.4,4,3,1,431
18446,832810,0,245,6.800000000000001,4,4,2,442
18468,767910,2,120,4.4,2,3,1,231
18475,386086,1,77,4.2,2,2,1,221
18477,378614,0,29,6.2,4,1,2,412
18501,384184,0,236,5.2,4,4,1,441
18515,1730916,0,46,6.4,4,2,2,422
18529,384900,2,42,4.4,2,2,1,221
18542,833192,1,37,9.4,2,1,3,213
18549,379623,2,60,4.2,2,2,1,221
18550,384426,0,96,4.6,4,3,1,431
18557,3356990,0,136,4.2,4,3,1,431
18560,3357244,0,131,14.600000000000001,4,3,3,433
18586,753412,0,141,8.4,4,3,2,432
18597,404710,0,27,5.4,4,1,1,411
18599,754021,4,195,11.8,1,4,3,143
18607,848555,4,20,4.2,1,1,1,111
18614,262362,2,99,6.4,2,3,2,232
18627,209299,1,28,4.4,2,1,1,211
18630,172009,2,57,8.600000000000001,2,2,2,222
18631,756496,0,230,17.2,4,4,3,443
18642,1964614,0,119,6.0,4,3,2,432
18651,779874,0,158,5.2,4,4,1,441
18663,846756,0,154,10.0,4,4,3,443
18671,407676,0,115,7.0,4,3,2,432
18674,336355,5,26,8.4,1,1,2,112
18675,173614,0,139,11.8,4,3,3,433
18683,752112,0,101,8.600000000000001,4,3,2,432
18693,221405,0,150,5.0,4,4,1,441
18708,751768,1,52,4.6,2,2,1,221
18720,2066634,0,100,4.2,4,3,1,431
18736,262545,2,17,5.0,2,1,1,211
18746,171931,0,25,5.2,4,1,1,411
18747,849440,0,16,5.4,4,1,1,411
18748,752947,0,204,22.6,4,4,4,444
18766,781406,2,74,6.0,2,2,2,222
18772,173568,1,300,9.8,2,4,3,243
18788,218160,1,56,5.4,2,2,1,221
18793,1696867,0,76,10.200000000000001,4,2,3,423
18810,397074,1,9,4.800000000000001,2,1,1,211
18826,759495,2,16,4.4,2,1,1,211
18838,375096,2,78,4.2,2,2,1,221
18852,776785,0,323,24.6,4,4,4,444
18855,2030468,0,95,5.4,4,3,1,431
18856,761352,0,188,7.800000000000001,4,4,2,442
18858,167392,0,68,4.2,4,2,1,421
18861,760880,2,24,9.200000000000001,2,1,3,213
18870,261491,1,100,5.800000000000001,2,3,1,231
18875,394294,0,192,6.0,4,4,2,442
18885,2033810,0,99,4.2,4,3,1,431
18888,397263,2,46,10.600000000000001,2,2,3,223
