,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore,Segment
5638,1066061,0,68,9.600000000000001,4,2,3,423,others
5639,1005861,4,38,5.8,1,1,1,111,Lost user
5640,4668766,0,97,5.6,4,3,1,431,others
5641,1071852,2,31,6.8,2,1,2,212,Almost lost user
5642,1000485,6,24,5.6,1,1,1,111,Lost user
5643,999999,0,144,8.6,4,4,2,442,Loyal user
5644,1074810,2,39,5.0,2,1,1,211,Almost lost user
5645,992686,0,78,19.200000000000003,4,2,4,424,Big contributor
5646,4668850,5,21,5.0,1,1,1,111,Lost user
5647,1116810,1,31,14.4,2,1,3,213,Almost lost user
5648,888225,0,100,7.2,4,3,2,432,others
5649,799904,0,98,5.4,4,3,1,431,others
5650,832950,4,19,5.2,1,1,1,111,Lost user
5651,849516,5,28,5.2,1,1,1,111,Lost user
5652,847397,0,86,5.4,4,3,1,431,others
5653,845358,0,95,13.6,4,3,3,433,others
5654,4669786,0,22,6.8,4,1,2,412,others
5655,841303,1,58,12.4,2,2,3,223,Almost lost user
5656,1190755,0,104,9.600000000000001,4,3,3,433,others
5657,4669849,5,10,5.6,1,1,1,111,Lost user
5658,1192723,5,23,5.0,1,1,1,111,Lost user
5659,1194045,0,210,15.8,4,4,3,443,Loyal user
5660,1198575,0,66,5.8,4,2,1,421,others
5661,261932,0,59,5.4,4,2,1,421,others
5662,4669859,5,15,6.2,1,1,2,112,Lost user
5663,885782,1,93,10.4,2,3,3,233,Almost lost user
5664,828873,2,67,6.4,2,2,2,222,Almost lost user
5665,4669886,4,35,5.0,1,1,1,111,Lost user
5666,817923,0,72,5.8,4,2,1,421,others
5667,817334,0,258,9.4,4,4,3,443,Loyal user
5668,4669960,5,18,6.0,1,1,2,112,Lost user
5669,809186,0,136,13.6,4,3,3,433,others
5670,263732,2,17,10.0,2,1,3,213,Almost lost user
5671,1212651,0,129,14.600000000000001,4,3,3,433,others
5672,807353,0,35,5.0,4,1,1,411,others
5673,803669,1,51,6.0,2,2,2,222,Almost lost user
5674,803133,3,183,20.8,1,4,4,144,Lost best user
5675,1182557,0,60,6.0,4,2,2,422,others
5676,850904,2,26,5.0,2,1,1,211,Almost lost user
5677,1175835,0,55,5.6,4,2,1,421,others
5678,851987,1,11,5.0,2,1,1,211,Almost lost user
5679,4669466,5,32,5.0,1,1,1,111,Lost user
5680,883596,0,53,5.8,4,2,1,421,others
5681,878405,0,242,11.2,4,4,3,443,Loyal user
5682,258493,0,50,5.4,4,2,1,421,others
5683,1127295,0,83,6.6,4,3,2,432,others
5684,4669527,4,48,5.2,1,2,1,121,Lost user
5685,1132113,0,159,23.400000000000002,4,4,4,444,Best user
5686,4668485,4,17,5.6,1,1,1,111,Lost user
5687,870158,5,20,5.0,1,1,1,111,Lost user
5688,242236,2,28,6.2,2,1,2,212,Almost lost user
5689,1144625,1,11,5.0,2,1,1,211,Almost lost user
5690,868158,0,55,7.800000000000001,4,2,2,422,others
5691,1145024,1,28,29.0,2,1,4,214,Almost lost user
5692,868048,0,41,5.2,4,2,1,421,others
5693,259266,0,38,5.4,4,1,1,411,others
5694,867863,5,17,5.4,1,1,1,111,Lost user
5695,1157489,0,100,9.600000000000001,4,3,3,433,others
5696,859453,0,82,16.0,4,3,3,433,others
5697,1158711,1,23,5.0,2,1,1,211,Almost lost user
5698,859105,0,100,6.8,4,3,2,432,others
5699,1162541,6,21,5.2,1,1,1,111,Lost user
5700,260040,0,99,14.8,4,3,3,433,others
5701,1173160,0,44,9.8,4,2,3,423,others
5702,1426800,0,48,10.4,4,2,3,423,others
5703,4667655,6,12,5.0,1,1,1,111,Lost user
5704,4667644,2,17,13.6,2,1,3,213,Almost lost user
5705,554371,0,110,11.8,4,3,3,433,others
5706,303907,0,96,6.2,4,3,2,432,others
5707,4666996,6,26,5.2,1,1,1,111,Lost user
5708,304082,0,120,10.2,4,3,3,433,others
5709,568923,0,145,6.0,4,4,2,442,Loyal user
5710,305488,1,121,7.4,2,3,2,232,Almost lost user
5711,305584,0,115,23.0,4,3,4,434,Big contributor
5712,562528,0,68,7.800000000000001,4,2,2,422,others
